tablet,time,grasped_time
orange,16/04/2016 18:01:41.19,3.09
orange,16/04/2016 18:01:53.22,6.19
orange,16/04/2016 18:02:36.20,37.1
orange,16/04/2016 18:03:00.08,8.05
orange,16/04/2016 18:03:02.16,2.05
orange,16/04/2016 18:03:22.12,5.91
orange,16/04/2016 18:04:19.22,29.15
orange,16/04/2016 18:06:04.23,77.02
orange,16/04/2016 18:06:30.18,3.08
orange,16/04/2016 18:07:19.22,21.13
orange,16/04/2016 18:08:04.13,37.95
orange,16/04/2016 18:08:33.09,5.83
orange,16/04/2016 18:08:58.06,14.97
orange,16/04/2016 18:09:03.22,5.08
orange,16/04/2016 18:09:14.27,8.24
orange,16/04/2016 18:09:23.20,5.01
orange,16/04/2016 18:09:31.03,5.91
orange,16/04/2016 18:09:44.27,12.13
orange,16/04/2016 18:09:53.01,8.73
orange,16/04/2016 18:09:57.21,3.16
orange,16/04/2016 18:10:02.10,3.05
orange,16/04/2016 18:10:08.02,3.84
orange,16/04/2016 18:10:13.09,3.98
orange,16/04/2016 18:10:23.04,9.03
orange,16/04/2016 18:10:44.23,21.13
orange,16/04/2016 18:10:54.22,4.06
orange,16/04/2016 18:10:58.06,3.06
orange,16/04/2016 18:11:40.03,41.01
orange,16/04/2016 18:12:28.19,9.11
orange,16/04/2016 18:12:52.01,11.84
orange,16/04/2016 18:13:03.22,2.09
orange,16/04/2016 18:13:07.13,3.91
orange,16/04/2016 18:13:18.33,4.19
orange,16/04/2016 18:13:28.04,2.01
orange,16/04/2016 18:13:44.01,10.82
orange,16/04/2016 18:13:47.06,2.87
orange,16/04/2016 18:14:06.04,18.02
orange,16/04/2016 18:14:16.08,5.01
orange,16/04/2016 18:14:29.17,7.09
orange,16/04/2016 18:15:09.17,24.08
orange,16/04/2016 18:15:25.14,13.92
orange,16/04/2016 18:15:41.02,3.91
orange,16/04/2016 18:15:46.04,4.97
orange,16/04/2016 18:16:03.05,6.95
orange,16/04/2016 18:16:26.07,9.02
orange,16/04/2016 18:16:44.01,2.79
orange,16/04/2016 18:16:58.13,12.86
orange,16/04/2016 18:17:20.05,20.04
orange,16/04/2016 18:17:37.06,4.83
orange,16/04/2016 18:18:04.04,14.97
orange,16/04/2016 18:19:11.08,3.99
orange,16/04/2016 18:19:18.05,3.82
orange,16/04/2016 18:19:21.06,2.0
orange,16/04/2016 18:19:26.11,5.01
orange,16/04/2016 18:20:07.05,2.92
orange,16/04/2016 18:21:19.10,24.96
orange,16/04/2016 18:21:44.15,4.03
orange,16/04/2016 18:21:50.06,2.85
orange,16/04/2016 18:22:20.02,4.83
orange,16/04/2016 18:22:26.19,5.11
orange,16/04/2016 18:22:53.10,18.01
orange,16/04/2016 18:23:31.03,29.88
orange,16/04/2016 18:23:43.04,4.0
orange,16/04/2016 18:24:17.03,3.99
orange,16/04/2016 18:25:02.14,13.11
orange,16/04/2016 18:25:43.08,4.87
orange,16/04/2016 18:26:32.19,41.96
orange,16/04/2016 18:27:12.01,8.97
orange,16/04/2016 18:27:16.23,2.09
orange,16/04/2016 18:27:21.22,3.19
orange,16/04/2016 18:27:26.14,3.97
orange,16/04/2016 18:29:34.02,22.92
orange,16/04/2016 18:30:10.12,2.97
orange,16/04/2016 18:30:49.21,9.13
orange,16/04/2016 18:30:58.16,4.03
orange,16/04/2016 18:31:12.21,10.11
orange,16/04/2016 18:31:20.24,5.16
orange,16/04/2016 18:32:04.16,5.01
orange,16/04/2016 18:32:24.15,14.06
orange,16/04/2016 18:32:38.06,3.95
orange,16/04/2016 18:33:01.13,3.0
orange,16/04/2016 18:33:28.26,2.18
orange,16/04/2016 18:33:33.14,2.11
orange,16/04/2016 18:34:11.11,3.99
orange,16/04/2016 19:35:31.03,2.79
orange,16/04/2016 19:36:08.29,17.19
orange,16/04/2016 19:36:11.08,2.03
orange,16/04/2016 19:36:21.18,2.06
orange,16/04/2016 19:36:33.04,5.82
orange,16/04/2016 19:36:39.18,2.92
orange,16/04/2016 19:36:44.14,4.94
orange,16/04/2016 19:36:47.16,2.94
orange,16/04/2016 19:36:50.12,2.95
orange,16/04/2016 19:36:54.06,2.06
orange,16/04/2016 19:37:00.05,3.87
orange,16/04/2016 19:37:12.23,2.03
orange,16/04/2016 19:37:16.22,3.93
orange,16/04/2016 19:37:26.12,3.12
orange,16/04/2016 19:37:41.21,6.16
orange,16/04/2016 19:37:58.16,16.04
orange,16/04/2016 19:41:13.16,193.98
orange,16/04/2016 19:41:55.01,9.0
orange,16/04/2016 19:41:57.22,2.13
orange,16/04/2016 19:42:03.17,2.02
orange,16/04/2016 19:42:52.15,4.07
orange,16/04/2016 19:43:37.07,7.84
orange,16/04/2016 19:44:25.09,46.86
orange,16/04/2016 19:45:03.02,3.82
orange,16/04/2016 19:45:29.17,5.0
orange,16/04/2016 19:49:31.12,3.05
orange,16/04/2016 19:50:02.00,29.92
orange,16/04/2016 19:51:44.22,5.22
orange,16/04/2016 19:52:46.02,9.88
orange,16/04/2016 22:04:08.10,6.0
orange,16/04/2016 22:04:19.28,8.25
orange,16/04/2016 22:04:26.13,6.0
orange,16/04/2016 22:04:45.18,4.99
orange,16/04/2016 22:05:01.00,7.84
orange,16/04/2016 22:05:11.23,4.13
orange,16/04/2016 22:05:16.01,2.76
orange,16/04/2016 22:05:30.25,4.23
orange,16/04/2016 22:06:13.13,9.87
orange,16/04/2016 22:07:51.22,2.17
orange,16/04/2016 22:07:55.11,3.87
orange,16/04/2016 22:08:10.26,2.05
orange,16/04/2016 22:08:50.15,3.03
orange,16/04/2016 22:08:56.29,2.27
orange,16/04/2016 22:09:01.16,4.14
orange,16/04/2016 22:09:08.09,6.93
orange,16/04/2016 22:10:35.18,42.12
orange,16/04/2016 22:11:16.24,10.16
orange,16/04/2016 22:12:14.28,3.12
orange,16/04/2016 22:13:26.16,30.16
orange,16/04/2016 22:13:35.27,9.05
orange,16/04/2016 22:14:01.02,18.77
orange,16/04/2016 22:14:05.03,3.86
orange,16/04/2016 22:14:16.08,4.93
orange,16/04/2016 22:14:37.14,9.95
orange,16/04/2016 22:14:43.24,2.2
orange,16/04/2016 22:14:47.18,3.05
orange,16/04/2016 22:14:52.10,2.89
orange,16/04/2016 22:14:58.24,3.06
orange,16/04/2016 22:15:04.18,4.03
orange,16/04/2016 22:15:10.05,4.89
orange,16/04/2016 22:15:12.13,2.04
orange,16/04/2016 22:15:17.24,3.01
orange,16/04/2016 22:15:21.26,2.05
orange,16/04/2016 22:15:27.00,3.86
orange,16/04/2016 22:15:36.04,4.83
orange,16/04/2016 22:15:41.23,3.98
orange,16/04/2016 22:15:44.10,2.87
