16/04/2016 17:33:49.00,7, 75, '-3', 'true'
16/04/2016 17:33:49.00,9, 199, '-3', 'true'
16/04/2016 17:33:49.00,21, 10, '3', 'true'
16/04/2016 17:33:49.00,14, 23, '3', 'true'
16/04/2016 17:34:19.00,7, 75, '-3', 'false'
16/04/2016 17:34:19.00,9, 199, '-3', 'true'
16/04/2016 17:34:19.00,21, 10, '3', 'true'
16/04/2016 17:34:19.00,14, 23, '3', 'false'
16/04/2016 17:34:30.00,7, 75, '-3', 'false'
16/04/2016 17:34:30.00,9, 199, '-3', 'false'
16/04/2016 17:34:30.00,21, 10, '3', 'false'
16/04/2016 17:34:30.00,14, 23, '3', 'false'
16/04/2016 17:34:30.00,29, 69, '-3', 'true'
16/04/2016 17:34:30.00,60, 142, '-3', 'true'
16/04/2016 17:34:30.00,53, 15, '3', 'true'
16/04/2016 17:34:30.00,35, 78, '3', 'true'
16/04/2016 17:34:48.00,7, 75, '-3', 'false'
16/04/2016 17:34:48.00,9, 199, '-3', 'false'
16/04/2016 17:34:48.00,21, 10, '3', 'false'
16/04/2016 17:34:48.00,14, 23, '3', 'false'
16/04/2016 17:34:48.00,29, 69, '-3', 'true'
16/04/2016 17:34:48.00,60, 142, '-3', 'true'
16/04/2016 17:34:48.00,53, 15, '3', 'true'
16/04/2016 17:34:48.00,35, 78, '3', 'true'
16/04/2016 18:19:52.02,70, 49, '-3', 'true'
16/04/2016 18:19:52.02,42, 88, '-3', 'true'
16/04/2016 18:19:52.02,49, 92, '3', 'true'
16/04/2016 18:19:52.02,6, 128, '3', 'true'
16/04/2016 18:24:41.06,75, 155, '-3', 'true'
16/04/2016 18:24:41.06,68, 198, '-3', 'true'
16/04/2016 18:24:41.06,48, 189, '3', 'true'
16/04/2016 18:24:41.06,48, 88, '3', 'true'
16/04/2016 18:26:54.16,75, 155, '-3', 'false'
16/04/2016 18:26:54.16,68, 198, '-3', 'true'
16/04/2016 18:26:54.16,48, 189, '3', 'true'
16/04/2016 18:26:54.16,48, 88, '3', 'true'
16/04/2016 18:26:56.00,75, 155, '-3', 'false'
16/04/2016 18:26:56.00,68, 198, '-3', 'true'
16/04/2016 18:26:56.00,48, 189, '3', 'true'
16/04/2016 18:26:56.00,48, 88, '3', 'true'
16/04/2016 18:26:58.00,75, 155, '-3', 'false'
16/04/2016 18:26:58.00,68, 198, '-3', 'true'
16/04/2016 18:26:58.00,48, 189, '3', 'true'
16/04/2016 18:26:58.00,48, 88, '3', 'true'
16/04/2016 18:28:10.28,75, 155, '-3', 'false'
16/04/2016 18:28:10.28,68, 198, '-3', 'true'
16/04/2016 18:28:10.28,48, 189, '3', 'true'
16/04/2016 18:28:10.28,48, 88, '3', 'true'
16/04/2016 18:28:20.01,75, 155, '-3', 'false'
16/04/2016 18:28:20.01,68, 198, '-3', 'true'
16/04/2016 18:28:20.01,48, 189, '3', 'true'
16/04/2016 18:28:20.01,48, 88, '3', 'true'
16/04/2016 18:29:38.19,75, 155, '-3', 'false'
16/04/2016 18:29:38.19,68, 198, '-3', 'true'
16/04/2016 18:29:38.19,48, 189, '3', 'true'
16/04/2016 18:29:38.19,48, 88, '3', 'true'
16/04/2016 18:29:41.08,75, 155, '-3', 'false'
16/04/2016 18:29:41.08,68, 198, '-3', 'true'
16/04/2016 18:29:41.08,48, 189, '3', 'true'
16/04/2016 18:29:41.08,48, 88, '3', 'true'
16/04/2016 18:29:43.00,75, 155, '-3', 'false'
16/04/2016 18:29:43.00,68, 198, '-3', 'true'
16/04/2016 18:29:43.00,48, 189, '3', 'true'
16/04/2016 18:29:43.00,48, 88, '3', 'true'
16/04/2016 18:30:01.15,75, 155, '-3', 'false'
16/04/2016 18:30:01.15,68, 198, '-3', 'true'
16/04/2016 18:30:01.15,48, 189, '3', 'true'
16/04/2016 18:30:01.15,48, 88, '3', 'true'
16/04/2016 18:31:13.09,75, 155, '-3', 'false'
16/04/2016 18:31:13.09,68, 198, '-3', 'false'
16/04/2016 18:31:13.09,48, 189, '3', 'true'
16/04/2016 18:31:13.09,48, 88, '3', 'true'
16/04/2016 18:31:15.00,75, 155, '-3', 'false'
16/04/2016 18:31:15.00,68, 198, '-3', 'false'
16/04/2016 18:31:15.00,48, 189, '3', 'true'
16/04/2016 18:31:15.00,48, 88, '3', 'true'
16/04/2016 18:31:16.00,75, 155, '-3', 'false'
16/04/2016 18:31:16.00,68, 198, '-3', 'false'
16/04/2016 18:31:16.00,48, 189, '3', 'true'
16/04/2016 18:31:16.00,48, 88, '3', 'true'
16/04/2016 18:31:18.00,75, 155, '-3', 'false'
16/04/2016 18:31:18.00,68, 198, '-3', 'false'
16/04/2016 18:31:18.00,48, 189, '3', 'true'
16/04/2016 18:31:18.00,48, 88, '3', 'true'
16/04/2016 18:31:26.14,75, 155, '-3', 'false'
16/04/2016 18:31:26.14,68, 198, '-3', 'false'
16/04/2016 18:31:26.14,48, 189, '3', 'true'
16/04/2016 18:31:26.14,48, 88, '3', 'true'
16/04/2016 18:31:32.06,75, 155, '-3', 'false'
16/04/2016 18:31:32.06,68, 198, '-3', 'false'
16/04/2016 18:31:32.06,48, 189, '3', 'true'
16/04/2016 18:31:32.06,48, 88, '3', 'true'
16/04/2016 18:32:05.00,75, 155, '-3', 'false'
16/04/2016 18:32:05.00,68, 198, '-3', 'false'
16/04/2016 18:32:05.00,48, 189, '3', 'true'
16/04/2016 18:32:05.00,48, 88, '3', 'true'
16/04/2016 18:32:08.21,75, 155, '-3', 'false'
16/04/2016 18:32:08.21,68, 198, '-3', 'false'
16/04/2016 18:32:08.21,48, 189, '3', 'true'
16/04/2016 18:32:08.21,48, 88, '3', 'true'
16/04/2016 18:32:10.00,75, 155, '-3', 'false'
16/04/2016 18:32:10.00,68, 198, '-3', 'false'
16/04/2016 18:32:10.00,48, 189, '3', 'true'
16/04/2016 18:32:10.00,48, 88, '3', 'true'
16/04/2016 18:32:12.00,75, 155, '-3', 'false'
16/04/2016 18:32:12.00,68, 198, '-3', 'false'
16/04/2016 18:32:12.00,48, 189, '3', 'true'
16/04/2016 18:32:12.00,48, 88, '3', 'true'
16/04/2016 18:32:13.00,75, 155, '-3', 'false'
16/04/2016 18:32:13.00,68, 198, '-3', 'false'
16/04/2016 18:32:13.00,48, 189, '3', 'true'
16/04/2016 18:32:13.00,48, 88, '3', 'true'
16/04/2016 18:32:15.00,75, 155, '-3', 'false'
16/04/2016 18:32:15.00,68, 198, '-3', 'false'
16/04/2016 18:32:15.00,48, 189, '3', 'true'
16/04/2016 18:32:15.00,48, 88, '3', 'true'
16/04/2016 18:32:16.00,75, 155, '-3', 'false'
16/04/2016 18:32:16.00,68, 198, '-3', 'false'
16/04/2016 18:32:16.00,48, 189, '3', 'true'
16/04/2016 18:32:16.00,48, 88, '3', 'true'
16/04/2016 18:32:22.16,75, 155, '-3', 'false'
16/04/2016 18:32:22.16,68, 198, '-3', 'false'
16/04/2016 18:32:22.16,48, 189, '3', 'true'
16/04/2016 18:32:22.16,48, 88, '3', 'true'
16/04/2016 18:34:26.02,65, 145, '-3', 'true'
16/04/2016 18:34:26.02,54, 20, '-3', 'true'
16/04/2016 18:34:26.02,38, 188, '3', 'true'
16/04/2016 18:34:26.02,0, 194, '3', 'true'
16/04/2016 18:36:38.00,31, 87, '-3', 'true'
16/04/2016 18:36:38.00,76, 119, '-3', 'true'
16/04/2016 18:36:38.00,0, 62, '3', 'true'
16/04/2016 18:36:38.00,15, 35, '3', 'true'
16/04/2016 18:43:57.02,56, 15, '-3', 'true'
16/04/2016 18:43:57.02,35, 28, '-3', 'true'
16/04/2016 18:43:57.02,51, 66, '3', 'true'
16/04/2016 18:43:57.02,54, 185, '3', 'true'
16/04/2016 18:45:17.08,42, 92, '-3', 'true'
16/04/2016 18:45:17.08,62, 128, '-3', 'true'
16/04/2016 18:45:17.08,69, 84, '3', 'true'
16/04/2016 18:45:17.08,4, 130, '3', 'true'
16/04/2016 19:05:10.02,31, 157, '-3', 'true'
16/04/2016 19:05:10.02,14, 79, '-3', 'true'
16/04/2016 19:05:10.02,69, 55, '3', 'true'
16/04/2016 19:05:10.02,22, 163, '3', 'true'
16/04/2016 19:10:06.10,31, 157, '-3', 'true'
16/04/2016 19:10:06.10,14, 79, '-3', 'true'
16/04/2016 19:10:06.10,69, 55, '3', 'true'
16/04/2016 19:10:06.10,22, 163, '3', 'true'
16/04/2016 19:11:45.00,31, 157, '-3', 'false'
16/04/2016 19:11:45.00,14, 79, '-3', 'true'
16/04/2016 19:11:45.00,69, 55, '3', 'true'
16/04/2016 19:11:45.00,22, 163, '3', 'true'
16/04/2016 19:12:45.22,31, 157, '-3', 'false'
16/04/2016 19:12:45.22,14, 79, '-3', 'false'
16/04/2016 19:12:45.22,69, 55, '3', 'true'
16/04/2016 19:12:45.22,22, 163, '3', 'false'
16/04/2016 19:13:23.09,31, 157, '-3', 'false'
16/04/2016 19:13:23.09,14, 79, '-3', 'false'
16/04/2016 19:13:23.09,69, 55, '3', 'false'
16/04/2016 19:13:23.09,22, 163, '3', 'false'
16/04/2016 19:13:23.09,32, 169, '-3', 'true'
16/04/2016 19:13:23.09,21, 36, '-3', 'true'
16/04/2016 19:13:23.09,50, 189, '3', 'true'
16/04/2016 19:13:23.09,11, 3, '3', 'true'
16/04/2016 19:14:27.06,31, 157, '-3', 'false'
16/04/2016 19:14:27.06,14, 79, '-3', 'false'
16/04/2016 19:14:27.06,69, 55, '3', 'false'
16/04/2016 19:14:27.06,22, 163, '3', 'false'
16/04/2016 19:14:27.06,32, 169, '-3', 'true'
16/04/2016 19:14:27.06,21, 36, '-3', 'true'
16/04/2016 19:14:27.06,50, 189, '3', 'true'
