16/04/2016 12:04:23.00,23, 105, '-3', 'true'
16/04/2016 12:04:23.00,48, 5, '-3', 'true'
16/04/2016 12:04:23.00,54, 145, '3', 'true'
16/04/2016 12:04:23.00,11, 198, '3', 'true'
16/04/2016 12:05:44.02,62, 191, '-3', 'true'
16/04/2016 12:05:44.02,39, 72, '-3', 'true'
16/04/2016 12:05:44.02,74, 141, '3', 'true'
16/04/2016 12:05:44.02,54, 62, '3', 'true'
16/04/2016 12:07:14.12,62, 191, '-3', 'true'
16/04/2016 12:07:14.12,39, 72, '-3', 'false'
16/04/2016 12:07:14.12,74, 141, '3', 'true'
16/04/2016 12:07:14.12,54, 62, '3', 'true'
16/04/2016 12:07:31.19,62, 191, '-3', 'true'
16/04/2016 12:07:31.19,39, 72, '-3', 'false'
16/04/2016 12:07:31.19,74, 141, '3', 'true'
16/04/2016 12:07:31.19,54, 62, '3', 'true'
16/04/2016 12:08:34.24,62, 191, '-3', 'true'
16/04/2016 12:08:34.24,39, 72, '-3', 'false'
16/04/2016 12:08:34.24,74, 141, '3', 'true'
16/04/2016 12:08:34.24,54, 62, '3', 'true'
16/04/2016 12:08:43.03,62, 191, '-3', 'true'
16/04/2016 12:08:43.03,39, 72, '-3', 'false'
16/04/2016 12:08:43.03,74, 141, '3', 'true'
16/04/2016 12:08:43.03,54, 62, '3', 'true'
16/04/2016 12:09:38.20,62, 191, '-3', 'true'
16/04/2016 12:09:38.20,39, 72, '-3', 'false'
16/04/2016 12:09:38.20,74, 141, '3', 'false'
16/04/2016 12:09:38.20,54, 62, '3', 'true'
16/04/2016 12:12:25.25,62, 191, '-3', 'true'
16/04/2016 12:12:25.25,39, 72, '-3', 'false'
16/04/2016 12:12:25.25,74, 141, '3', 'false'
16/04/2016 12:12:25.25,54, 62, '3', 'true'
16/04/2016 12:20:00.17,62, 191, '-3', 'false'
16/04/2016 12:20:00.17,39, 72, '-3', 'false'
16/04/2016 12:20:00.17,74, 141, '3', 'false'
16/04/2016 12:20:00.17,54, 62, '3', 'false'
16/04/2016 12:20:00.17,41, 46, '-3', 'true'
16/04/2016 12:20:00.17,70, 121, '-3', 'true'
16/04/2016 12:20:00.17,57, 65, '3', 'true'
16/04/2016 12:20:00.17,77, 164, '3', 'true'
16/04/2016 12:21:20.17,62, 191, '-3', 'false'
16/04/2016 12:21:20.17,39, 72, '-3', 'false'
16/04/2016 12:21:20.17,74, 141, '3', 'false'
16/04/2016 12:21:20.17,54, 62, '3', 'false'
16/04/2016 12:21:20.17,41, 46, '-3', 'true'
16/04/2016 12:21:20.17,70, 121, '-3', 'true'
16/04/2016 12:21:20.17,57, 65, '3', 'true'
16/04/2016 12:21:20.17,77, 164, '3', 'true'
16/04/2016 12:23:00.01,7, 4, '-3', 'true'
16/04/2016 12:23:00.01,6, 112, '-3', 'true'
16/04/2016 12:23:00.01,60, 49, '3', 'true'
16/04/2016 12:23:00.01,28, 103, '3', 'true'
16/04/2016 12:24:01.09,7, 4, '-3', 'false'
16/04/2016 12:24:01.09,6, 112, '-3', 'true'
16/04/2016 12:24:01.09,60, 49, '3', 'false'
16/04/2016 12:24:01.09,28, 103, '3', 'true'
16/04/2016 12:33:32.03,33, 55, '-3', 'true'
16/04/2016 12:33:32.03,12, 135, '-3', 'true'
16/04/2016 12:33:32.03,0, 32, '3', 'true'
16/04/2016 12:33:32.03,24, 134, '3', 'true'
16/04/2016 12:34:18.09,33, 55, '-3', 'false'
16/04/2016 12:34:18.09,12, 135, '-3', 'true'
16/04/2016 12:34:18.09,0, 32, '3', 'true'
16/04/2016 12:34:18.09,24, 134, '3', 'true'
16/04/2016 12:35:23.04,33, 55, '-3', 'false'
16/04/2016 12:35:23.04,12, 135, '-3', 'true'
16/04/2016 12:35:23.04,0, 32, '3', 'true'
16/04/2016 12:35:23.04,24, 134, '3', 'true'
16/04/2016 12:35:47.14,33, 55, '-3', 'false'
16/04/2016 12:35:47.14,12, 135, '-3', 'true'
16/04/2016 12:35:47.14,0, 32, '3', 'true'
16/04/2016 12:35:47.14,24, 134, '3', 'true'
16/04/2016 12:36:01.17,33, 55, '-3', 'false'
16/04/2016 12:36:01.17,12, 135, '-3', 'true'
16/04/2016 12:36:01.17,0, 32, '3', 'true'
16/04/2016 12:36:01.17,24, 134, '3', 'false'
16/04/2016 12:37:49.04,33, 55, '-3', 'false'
16/04/2016 12:37:49.04,12, 135, '-3', 'true'
16/04/2016 12:37:49.04,0, 32, '3', 'true'
16/04/2016 12:37:49.04,24, 134, '3', 'false'
16/04/2016 12:38:14.00,63, 135, '-3', 'true'
16/04/2016 12:38:14.00,67, 169, '-3', 'true'
16/04/2016 12:38:14.00,65, 158, '3', 'true'
16/04/2016 12:38:14.00,21, 72, '3', 'true'
16/04/2016 12:39:11.01,63, 135, '-3', 'true'
16/04/2016 12:39:11.01,67, 169, '-3', 'true'
16/04/2016 12:39:11.01,65, 158, '3', 'true'
16/04/2016 12:39:11.01,21, 72, '3', 'true'
16/04/2016 12:39:28.21,63, 135, '-3', 'true'
16/04/2016 12:39:28.21,67, 169, '-3', 'true'
16/04/2016 12:39:28.21,65, 158, '3', 'true'
16/04/2016 12:39:28.21,21, 72, '3', 'false'
16/04/2016 12:41:00.08,63, 135, '-3', 'false'
16/04/2016 12:41:00.08,67, 169, '-3', 'true'
16/04/2016 12:41:00.08,65, 158, '3', 'true'
16/04/2016 12:41:00.08,21, 72, '3', 'false'
16/04/2016 12:43:20.25,63, 135, '-3', 'false'
16/04/2016 12:43:20.25,67, 169, '-3', 'true'
16/04/2016 12:43:20.25,65, 158, '3', 'true'
16/04/2016 12:43:20.25,21, 72, '3', 'false'
16/04/2016 12:43:36.12,63, 135, '-3', 'false'
16/04/2016 12:43:36.12,67, 169, '-3', 'true'
16/04/2016 12:43:36.12,65, 158, '3', 'false'
16/04/2016 12:43:36.12,21, 72, '3', 'false'
16/04/2016 12:45:06.22,63, 135, '-3', 'false'
16/04/2016 12:45:06.22,67, 169, '-3', 'true'
16/04/2016 12:45:06.22,65, 158, '3', 'false'
16/04/2016 12:45:06.22,21, 72, '3', 'false'
16/04/2016 12:45:43.15,63, 135, '-3', 'false'
16/04/2016 12:45:43.15,67, 169, '-3', 'false'
16/04/2016 12:45:43.15,65, 158, '3', 'false'
16/04/2016 12:45:43.15,21, 72, '3', 'false'
16/04/2016 12:45:43.15,69, 168, '-3', 'true'
16/04/2016 12:45:43.15,24, 3, '-3', 'true'
16/04/2016 12:45:43.15,68, 118, '3', 'true'
16/04/2016 12:45:43.15,20, 24, '3', 'true'
16/04/2016 12:46:39.06,3, 172, '-3', 'true'
16/04/2016 12:46:39.06,3, 104, '-3', 'true'
16/04/2016 12:46:39.06,54, 182, '3', 'true'
16/04/2016 12:46:39.06,75, 105, '3', 'true'
16/04/2016 12:47:41.11,3, 172, '-3', 'true'
16/04/2016 12:47:41.11,3, 104, '-3', 'false'
16/04/2016 12:47:41.11,54, 182, '3', 'true'
16/04/2016 12:47:41.11,75, 105, '3', 'true'
16/04/2016 12:49:08.04,3, 172, '-3', 'true'
16/04/2016 12:49:08.04,3, 104, '-3', 'false'
16/04/2016 12:49:08.04,54, 182, '3', 'false'
16/04/2016 12:49:08.04,75, 105, '3', 'true'
16/04/2016 12:50:51.08,3, 172, '-3', 'true'
16/04/2016 12:50:51.08,3, 104, '-3', 'false'
16/04/2016 12:50:51.08,54, 182, '3', 'false'
16/04/2016 12:50:51.08,75, 105, '3', 'false'
16/04/2016 12:52:23.03,41, 138, '-3', 'true'
16/04/2016 12:52:23.03,13, 187, '-3', 'true'
16/04/2016 12:52:23.03,61, 177, '3', 'true'
16/04/2016 12:52:23.03,54, 142, '3', 'true'
16/04/2016 12:53:37.10,41, 138, '-3', 'true'
16/04/2016 12:53:37.10,13, 187, '-3', 'true'
16/04/2016 12:53:37.10,61, 177, '3', 'true'
16/04/2016 12:53:37.10,54, 142, '3', 'false'
16/04/2016 12:54:15.10,41, 138, '-3', 'true'
16/04/2016 12:54:15.10,13, 187, '-3', 'true'
16/04/2016 12:54:15.10,61, 177, '3', 'true'
16/04/2016 12:54:15.10,54, 142, '3', 'false'
16/04/2016 12:54:50.04,41, 138, '-3', 'true'
16/04/2016 12:54:50.04,13, 187, '-3', 'true'
16/04/2016 12:54:50.04,61, 177, '3', 'true'
16/04/2016 12:54:50.04,54, 142, '3', 'false'
16/04/2016 12:55:36.09,41, 138, '-3', 'false'
16/04/2016 12:55:36.09,13, 187, '-3', 'true'
16/04/2016 12:55:36.09,61, 177, '3', 'true'
16/04/2016 12:55:36.09,54, 142, '3', 'false'
16/04/2016 12:56:56.02,57, 23, '-3', 'true'
16/04/2016 12:56:56.02,61, 188, '-3', 'true'
16/04/2016 12:56:56.02,7, 27, '3', 'true'
16/04/2016 12:56:56.02,3, 42, '3', 'true'
16/04/2016 12:58:00.16,57, 23, '-3', 'false'
16/04/2016 12:58:00.16,61, 188, '-3', 'true'
16/04/2016 12:58:00.16,7, 27, '3', 'true'
16/04/2016 12:58:00.16,3, 42, '3', 'true'
16/04/2016 13:00:42.02,57, 23, '-3', 'false'
16/04/2016 13:00:42.02,61, 188, '-3', 'true'
16/04/2016 13:00:42.02,7, 27, '3', 'false'
16/04/2016 13:00:42.02,3, 42, '3', 'true'
16/04/2016 13:04:01.18,57, 23, '-3', 'false'
16/04/2016 13:04:01.18,61, 188, '-3', 'false'
16/04/2016 13:04:01.18,7, 27, '3', 'false'
16/04/2016 13:04:01.18,3, 42, '3', 'true'
16/04/2016 13:04:27.01,28, 36, '-3', 'true'
16/04/2016 13:04:27.01,29, 178, '-3', 'true'
16/04/2016 13:04:27.01,28, 129, '3', 'true'
16/04/2016 13:04:27.01,37, 83, '3', 'true'
16/04/2016 13:06:00.18,28, 36, '-3', 'false'
16/04/2016 13:06:00.18,29, 178, '-3', 'true'
16/04/2016 13:06:00.18,28, 129, '3', 'true'
16/04/2016 13:06:00.18,37, 83, '3', 'true'
