16/04/2016 17:44:12.00,18, 54, '-3', 'true'
16/04/2016 17:44:12.00,8, 0, '-3', 'true'
16/04/2016 17:44:12.00,37, 115, '3', 'true'
16/04/2016 17:44:12.00,38, 135, '3', 'true'
16/04/2016 18:04:57.16,18, 54, '-3', 'false'
16/04/2016 18:04:57.16,8, 0, '-3', 'false'
16/04/2016 18:04:57.16,37, 115, '3', 'true'
16/04/2016 18:04:57.16,38, 135, '3', 'true'
16/04/2016 18:05:54.01,19, 22, '-3', 'true'
16/04/2016 18:05:54.01,38, 189, '-3', 'true'
16/04/2016 18:05:54.01,28, 32, '3', 'true'
16/04/2016 18:05:54.01,62, 96, '3', 'true'
16/04/2016 18:06:28.25,19, 22, '-3', 'true'
16/04/2016 18:06:28.25,38, 189, '-3', 'false'
16/04/2016 18:06:28.25,28, 32, '3', 'true'
16/04/2016 18:06:28.25,62, 96, '3', 'true'
16/04/2016 18:11:29.02,55, 86, '-3', 'true'
16/04/2016 18:11:29.02,70, 177, '-3', 'true'
16/04/2016 18:11:29.02,44, 85, '3', 'true'
16/04/2016 18:11:29.02,5, 59, '3', 'true'
16/04/2016 18:26:27.02,3, 54, '-3', 'true'
16/04/2016 18:26:27.02,26, 95, '-3', 'true'
16/04/2016 18:26:27.02,6, 24, '3', 'true'
16/04/2016 18:26:27.02,31, 0, '3', 'true'
16/04/2016 18:28:26.05,3, 54, '-3', 'true'
16/04/2016 18:28:26.05,26, 95, '-3', 'true'
16/04/2016 18:28:26.05,6, 24, '3', 'true'
16/04/2016 18:28:26.05,31, 0, '3', 'true'
16/04/2016 18:29:17.15,3, 54, '-3', 'true'
16/04/2016 18:29:17.15,26, 95, '-3', 'true'
16/04/2016 18:29:17.15,6, 24, '3', 'true'
16/04/2016 18:29:17.15,31, 0, '3', 'true'
16/04/2016 18:29:38.13,3, 54, '-3', 'true'
16/04/2016 18:29:38.13,26, 95, '-3', 'false'
16/04/2016 18:29:38.13,6, 24, '3', 'true'
16/04/2016 18:29:38.13,31, 0, '3', 'true'
16/04/2016 18:29:46.05,3, 54, '-3', 'true'
16/04/2016 18:29:46.05,26, 95, '-3', 'false'
16/04/2016 18:29:46.05,6, 24, '3', 'true'
16/04/2016 18:29:46.05,31, 0, '3', 'true'
